e1,e2,e3,player_id,year
-3.3239417,-0.61035067,-1.8617697,116338,2015
3.6909587,-3.3703854,2.2273989,120074,2015
2.4910052,-1.6455724,-0.7943294,121347,2015
-3.3570251,-0.022689585,-0.5839724,133380,2015
-1.0527098,-0.12712073,2.3191457,134181,2015
-0.01887323,0.18497993,0.79832625,136860,2015
-4.321537,2.9059317,-1.2569637,276519,2015
-0.37072587,0.48036337,1.284712,405395,2015
-2.6724443,-3.6463337,-1.9270325,407781,2015
-0.41776484,1.7905335,1.1552064,408045,2015
4.7005663,-3.7609212,3.0366707,408234,2015
0.21994404,-1.2235433,1.9079458,408236,2015
-4.5449786,0.7619492,1.6690112,408252,2015
-6.5417566,2.5214186,-1.0120718,408314,2015
-1.5417426,0.25745514,0.8438451,425509,2015
1.743393,-0.5409816,-0.24541113,425783,2015
-5.825916,1.3531363,-0.9116038,425877,2015
0.5167817,-0.14186157,1.2236139,425902,2015
0.04177112,-1.3120108,1.1923046,429664,2015
2.4790583,-1.026757,1.0638355,429665,2015
0.20294663,-4.578154,-0.88768375,429667,2015
3.7777104,-0.32096323,1.2111298,430832,2015
-2.4311996,-2.6585598,-0.5128503,430945,2015
-6.0252113,1.9874008,1.2595234,430947,2015
0.2478529,0.66059685,-1.6469024,431145,2015
1.8892049,0.44513482,0.9140953,434158,2015
-4.548989,3.526048,-0.38237685,434636,2015
1.2617089,-1.6832749,1.2589022,434778,2015
-3.786322,2.2848468,2.519802,435079,2015
-1.0615118,1.9232297,-1.7478714,435263,2015
-1.7366519,0.17484246,-0.33164918,435522,2015
-1.8064557,-1.7494725,-3.7777953,435622,2015
3.11461,-4.836496,0.4095233,443558,2015
-0.40313745,-3.1679718,-1.8149611,444432,2015
1.0689378,-1.863515,0.5242373,444482,2015
-6.6668515,2.1990623,0.47515598,444876,2015
-2.564187,3.0045722,1.3564451,445988,2015
2.7079368,-1.778953,-0.19634962,446263,2015
-0.18552409,-0.7523756,-0.08143957,446334,2015
4.43738,-5.726782,-0.65767723,448801,2015
-0.943578,3.8863666,0.8822568,450314,2015
-0.67262286,2.6552835,-1.5170876,451594,2015
-1.1606895,1.2248168,-0.029520888,452104,2015
0.21571575,0.9609669,-0.60010374,452252,2015
-3.3931963,-0.7102641,-1.5876199,452678,2015
-0.5596951,-0.34012163,-0.91099185,453064,2015
-2.2142913,2.0101576,1.2307886,453568,2015
-0.7026467,-2.0364962,-0.42374176,453943,2015
-2.2066114,3.7169936,1.4173739,455976,2015
-0.3442443,0.63004565,-0.3325446,456714,2015
-0.2931264,-1.1530044,1.8950375,456715,2015
2.8428583,-1.8219527,2.2856653,457705,2015
-1.5837336,0.0426068,-1.4011171,457706,2015
0.7377315,-1.0381702,-2.3294773,457708,2015
-1.698437,1.8022314,-0.9122635,457727,2015
-0.5572747,0.3010807,3.6219022,457763,2015
-0.6542771,-0.8059172,-1.150485,457803,2015
5.1557126,-1.193072,3.2592466,458015,2015
-0.64863497,1.7461848,-0.83823955,458085,2015
-0.05001551,2.3164375,-0.24224986,458731,2015
1.5677317,-2.3089125,0.583349,460075,2015
0.19589657,-2.504605,-2.4173949,461235,2015
-0.5287375,-1.8615494,-0.6083882,461314,2015
-0.3961048,-0.033235945,-0.45852363,461858,2015
-3.8282328,3.3918996,-0.04559285,462101,2015
-0.77653253,1.761605,-0.24839978,465041,2015
-2.5482996,1.5635678,0.96654284,466320,2015
-4.9784307,-0.7794483,-1.9285823,467055,2015
-2.652364,-1.9265087,-1.9342945,467092,2015
1.7419378,2.7277563,-0.444733,467793,2015
-3.720184,-0.2560081,0.17851582,467827,2015
0.080912285,-3.0887551,-0.7882022,471865,2015
1.5394171,-3.307853,0.27540594,474832,2015
-1.1091864,2.0391886,3.4948318,488726,2015
-1.8012985,0.945394,1.2722749,488862,2015
-0.8597455,0.28529635,-0.49604946,489149,2015
1.2765964,-3.6226957,0.78771263,493316,2015
-5.9826546,2.576415,-0.14265896,493351,2015
-3.8736973,2.0395825,0.23146257,500208,2015
2.814339,-5.9967656,0.19706672,502110,2015
-1.6779468,1.9775102,1.0921376,502210,2015
-2.1314845,0.8637216,2.0787735,502517,2015
5.1115623,-2.5643673,1.7148768,502671,2015
-4.2960615,1.3750858,1.701775,514888,2015
-6.1326866,0.540328,-1.9531128,516416,2015
-4.344994,0.4920974,-1.4961613,516770,2015
-1.6079198,-2.111702,0.29334083,516782,2015
2.7435958,-2.930939,0.97364676,518626,2015
-1.1126525,2.5603576,-0.15820108,518792,2015
-1.0154351,1.6066761,0.68588454,518934,2015
