player_id,nameFirst,nameLast
595777,Jurickson,Profar
600869,Jeimer,Candelario
605113,Nick,Ahmed
605119,Brian,Anderson
605480,Mallex,Smith
606192,Teoscar,Hernández
606466,Ketel,Marte
607043,Brandon,Nimmo
607208,Trea,Turner
609280,Miguel,Andujar
621563,Joey,Wendle
621566,Matt,Olson
622666,Johan,Camargo
624424,Michael,Conforto
642708,Amed,Rosario
645277,Ozzie,Albies
656305,Matt,Chapman
656555,Rhys,Hoskins
656941,Kyle,Schwarber
660162,Yoán,Moncada
542454,Danny,Santana
543877,Christian,Vázquez
544725,Leury,Garcia
545341,Randal,Grichuk
571970,Max,Muncy
572228,Luke,Voit III
572233,Christian,Walker
592567,Colin,Moran
593643,Hanser,Alberto
596129,Daniel,Vogelbach
600524,Renato,Núñez
614177,Franmil,Reyes
621028,Kevin,Newman
624413,Pete,Alonso
624428,Adam,Frazier
624585,Jorge,Soler
640457,Austin,Meadows
641531,Hunter,Dozier
641857,Ryan,McMahon
642715,Willy,Adames
643446,Jeff,McNeil
645302,Victor,Robles
646240,Rafael,Devers
650391,Eloy,Jiménez
650402,Gleyber,Torres
657557,Paul,DeJong
660670,Ronald,Acuña Jr.
664058,David,Fletcher
665489,Vladimir,Guerrero Jr.
665742,Juan,Soto
668804,Bryan,Reynolds
456781,Donovan,Solano
543257,Robbie,Grossman
547004,Rio,Ruiz
570481,Erik,González
573262,Mike,Yastrzemski
592192,Mark,Canha
593934,Miguel,Sanó
600303,Tommy,La Stella
605204,J.D.,Davis
606132,Raimel,Tapia
609275,Adalberto,Mondesi
622682,Victor,Reyes
624415,Cavan,Biggio
630105,Jake,Cronenworth
641487,J.P.,Crawford
641786,Kyle,Lewis
642086,Dominic,Smith
643396,Isiah,Kiner-Falefa
657077,Alex,Verdugo
657108,Evan,White
657656,Ramón,Laureano
663586,Austin,Riley
663656,Kyle,Tucker
663757,Trent,Grisham
664023,Ian,Happ
664040,Brandon,Lowe
665487,Fernando,Tatis Jr.
666971,Lourdes,Gurriel Jr.
669242,Tommy,Edman
669256,Nick,Solak
669374,Keston,Hiura
670032,Nicky,Lopez
673357,Luis,Robert Jr.
571657,Kyle,Farmer
571771,Enrique,Hernández
592669,Hunter,Renfroe
641933,Tyler,O'Neill
649966,Luis,Urías
650490,Yandy,Díaz
656775,Cedric,Mullins II
656976,Pavin,Smith
660271,Shohei,Ohtani
663624,Ryan,Mountcastle
663697,Jonathan,India
663993,Nathaniel,Lowe
664034,Ty,France
664702,Myles,Straw
665120,Jared,Walsh
665862,Jazz,Chisholm Jr.
666182,Bo,Bichette
666185,Dylan,Carlson
666969,Adolis,García
668227,Randy,Arozarena
668942,Josh,Rojas
669720,Austin,Hays
670541,Yordan,Alvarez
570482,Gio,Urshela
592273,Brandon,Drury
608385,Jesse,Winker
621493,Taylor,Ward
621550,Patrick,Wisdom
622761,Jorge,Mateo
623993,Anthony,Santander
642133,Rowdy,Tellez
642731,Thairo,Estrada
643393,Tony,Kemp
650333,Luis,Arraez
650859,Luis,Rengifo
657041,Lane,Thomas
662139,Daulton,Varsho
663538,Nico,Hoerner
663647,Ke'Bryan,Hayes
663898,Brendan,Rodgers
664761,Alec,Bohm
664913,Seth,Brown
665161,Jeremy,Peña
665926,Andrés,Giménez
669004,MJ,Melendez Jr.
669221,Sean,Murphy
669257,Will,Smith
672386,Alejandro,Kirk
673490,Ha-Seong,Kim
677594,Julio,Rodríguez
677951,Bobby,Witt Jr.
680757,Steven,Kwan
683734,Andrew,Vaughn
553869,Elias,Díaz
608841,Joey,Meneses
650559,Bryan,De La Cruz
656716,Zach,McKinstry
660688,Keibert,Ruiz
661388,William,Contreras
663457,Lars,Nootbaar
663728,Cal,Raleigh
663837,Matt,Vierling
663886,Tyler,Stephenson
664774,LaMonte,Wade Jr.
665750,Leody,Taveras
667670,Brent,Rooker Jr.
668715,Spencer,Steer
668939,Adley,Rutschman
669261,Jack,Suwinski
669394,Jake,Burger
670623,Isaac,Paredes
670770,TJ,Friedl Jr.
671213,Triston,Casas
671739,Michael,Harris II
672580,Maikel,Garcia
673548,Seiya,Suzuki
673962,Josh,Jung
678662,Ezequiel,Tovar
679529,Spencer,Torkelson
681082,Bryson,Stott
681546,James,Outman
682928,CJ,Abrams
682998,Corbin,Carroll
683002,Gunnar,Henderson
683011,Anthony,Volpe
807799,Masataka,Yoshida
647304,Josh,Naylor
650489,Willi,Castro
660821,Jesús,Sánchez
665833,Oneil,Cruz
666624,Christopher,Morel
668709,JJ,Bleday
668930,Brice,Turang
669127,Shea,Langeliers
669701,Josh,Smith
671218,Heliot,Ramos
671277,Luis,García
673237,Yainer,Diaz
676475,Alec,Burleson
676694,Jake,Meyers
678882,Ceddanne,Rafaela
680776,Jarren,Duran
680869,Zack,Gelof
680977,Brendan,Donovan
681297,Colton,Cowser
681351,Logan,O'Hoppe
682829,Elly,De La Cruz
682985,Riley,Greene
683737,Michael,Busch
686217,Sal,Frelick
686469,Vinnie,Pasquantino
686668,Brenton,Doyle
687263,Zach,Neto
687401,Joey,Ortiz
690993,Colt,Keith
691026,Masyn,Winn
694192,Jackson,Chourio
694384,Nolan,Schanuel
694671,Wyatt,Langford
696285,Jacob,Young
701538,Jackson,Merrill
663616,Trevor,Larnach
666018,Jonathan,Aranda
666158,Gavin,Lux
668901,Mark,Vientos
669065,Kyle,Stowers
669224,Austin,Wells
669364,Xavier,Edwards
669911,Michael,Toglia
671732,Lawrence,Butler
672356,Gabriel,Arias
672695,Geraldo,Perdomo
672820,Lenyn,Sosa
